2021.09.19 22:00:02,EURUSD,market exit,0.5,718
2021.09.20 20:00:05,EURUSD,market entry,0.0,5125
2021.09.20 20:23:05,EURUSD,market exit,0.0,188
2021.09.20 21:18:45,EURUSD,market entry,-3.9,594
2021.09.20 22:50:10,EURUSD,market exit,-0.1,218
2021.09.23 20:00:05,EURUSD,market entry,0.3,5047
2021.09.23 21:52:57,EURUSD,market exit,-0.2,266
2021.09.27 20:55:58,EURUSD,market entry,0.0,218
2021.09.27 21:01:04,EURUSD,market exit,-3.0,282
2021.09.28 21:53:21,EURUSD,market entry,-0.2,1282
2021.09.28 21:56:27,EURUSD,market exit,-0.2,187
2021.10.03 21:01:07,EURUSD,market entry,-0.4,984
2021.10.03 22:00:04,EURUSD,market exit,-0.7,1594
2021.10.04 21:36:31,EURUSD,market entry,-0.4,2281
2021.10.04 21:56:44,EURUSD,market exit,-2.7,4406
2021.10.05 21:01:03,EURUSD,market entry,-3.8,2672
2021.10.05 21:30:07,EURUSD,market exit,-0.3,485
2021.10.06 21:14:58,EURUSD,market entry,-3.0,2547
2021.10.06 22:08:44,EURUSD,market exit,0.2,985
2021.10.07 20:01:58,EURUSD,market entry,0.0,265
2021.10.07 20:51:19,EURUSD,market exit,0.0,234
2021.10.07 21:58:55,EURUSD,market entry,-0.5,1016
2021.10.07 22:57:36,EURUSD,market exit,0.0,265
2021.10.10 21:01:09,EURUSD,market entry,-0.6,500
2021.10.10 22:00:01,EURUSD,market exit,-0.1,625
2021.10.11 20:00:05,EURUSD,market entry,-0.8,5734
2021.10.11 20:55:00,EURUSD,market exit,-0.2,360
2021.10.11 21:53:31,EURUSD,market entry,-0.2,531
2021.10.11 22:02:54,EURUSD,market exit,-0.2,187
2021.10.12 21:05:04,EURUSD,market entry,-0.6,1063
2021.10.12 21:44:03,EURUSD,market exit,-0.5,828
2021.10.21 20:04:49,EURUSD,market entry,-0.1,218
2021.10.21 20:43:07,EURUSD,market exit,0.1,235
2021.10.26 20:22:03,EURUSD,market entry,0.0,266
2021.10.26 20:43:39,EURUSD,market exit,0.0,219
2021.10.26 20:57:12,EURUSD,market entry,0.0,234
2021.10.26 22:32:26,EURUSD,market exit,0.0,203
2021.10.28 20:00:16,EURUSD,market entry,0.9,8734
2021.10.28 20:25:40,EURUSD,market exit,-0.1,438
2021.10.28 20:43:30,EURUSD,market entry,0.0,250
2021.10.28 21:45:58,EURUSD,market exit,-0.3,219
2021.11.01 20:00:07,EURUSD,market entry,0.0,5359
2021.11.01 21:01:25,EURUSD,market exit,0.0,219
2021.11.01 21:36:58,EURUSD,market entry,0.1,1016
2021.11.01 21:54:14,EURUSD,market exit,-1.3,1297
2021.11.02 20:40:01,EURUSD,market entry,0.1,203
2021.11.02 21:51:08,EURUSD,market exit,0.0,203
2021.11.03 21:50:56,EURUSD,market entry,-0.6,750
2021.11.03 22:29:54,EURUSD,market exit,-0.2,422
2021.11.04 20:49:14,EURUSD,market entry,-0.2,235
2021.11.04 22:00:02,EURUSD,market exit,0.0,312
2021.11.10 22:44:18,EURUSD,market entry,0.0,156
2021.11.10 23:02:25,EURUSD,market exit,0.4,172
2021.11.11 21:21:50,EURUSD,market entry,-0.1,219
2021.11.11 21:45:17,EURUSD,market exit,0.0,203
2021.11.11 22:01:01,EURUSD,market entry,0.0,734
2021.11.11 22:46:19,EURUSD,market exit,-0.3,141
2021.11.22 21:58:57,EURUSD,market entry,-0.1,250
2021.11.22 22:01:19,EURUSD,market exit,-0.1,219
2021.11.25 22:30:38,EURUSD,market entry,-2.3,297
2021.11.25 22:39:56,EURUSD,market exit,-0.6,203
2021.11.30 21:00:02,EURUSD,market entry,0.2,2047
2021.11.30 22:05:00,EURUSD,market exit,0.0,359
2021.12.06 21:50:08,EURUSD,market entry,-0.3,234
2021.12.06 22:46:44,EURUSD,market exit,-0.1,187
2021.12.07 21:00:02,EURUSD,market entry,0.0,2016
2021.12.07 22:50:49,EURUSD,market exit,-0.5,188
2021.12.13 21:00:13,EURUSD,market entry,0.4,4000
2021.12.13 21:55:00,EURUSD,market exit,0.0,156
2021.12.13 22:16:50,EURUSD,market entry,0.0,438
2021.12.13 23:21:01,EURUSD,market exit,-0.1,234
